"CAND_ID","Amount","CAND_NAME","PTY","OFFICE"
"H0FL12101",3000,"ROSS, DENNIS ALAN","REP","H"
"H0IL16085",3000,"MANZULLO, DONALD A.","REP","H"
"H4TX10093",3000,"MCCAUL, MICHAEL","REP","H"
"H6CA46033",3000,"SANCHEZ, LORETTA","DEM","H"
"H4CA17021",3000,"FARR, SAM","DEM","H"
"H0WI06061",3000,"PETRI, THOMAS","REP","H"
"H2NC08185",2500,"HUDSON, RICHARD L. JR.","REP","H"
"H0GA08099",2500,"SCOTT, JAMES AUSTIN","REP","H"
"H0SC05031",2500,"MULVANEY, JOHN MICHAEL 'MICK'","REP","H"
"H2GA11149",2500,"GINGREY, J. PHILLIP","REP","H"
"H0OK05114",2500,"LANKFORD, JAMES PAUL","REP","H"
"H6CO05159",2500,"LAMBORN, DOUGLAS","REP","H"
"H4AZ01038",2500,"SALMON, MATT","REP","H"
"H8LA04225",2500,"FLEMING, JOHN C MR. JR.","REP","H"
"H2NY17071",2000,"NADLER, JERROLD L. MR.","DEM","H"
"H4IL07037",2000,"DAVIS, DANNY K","DEM","H"
"H6CO01141",2000,"DEGETTE, DIANA L.","DEM","H"
"H8CA52052",2000,"HUNTER, DUNCAN D.","REP","H"
"H6TX21012",2000,"SMITH, LAMAR","REP","H"
"H8CT01046",2000,"LARSON, JOHN B","DEM","H"
"H6NJ13191",2000,"SIRES, ALBIO","DEM","H"
"H8TX20077",2000,"GONZALEZ, CHARLES A.","DEM","H"
"H6NJ12144",2000,"HOLT, RUSH D.","DEM","H"
"H2NJ10154",2000,"PAYNE, DONALD M., JR.","DEM","H"
"H4WA05077",2000,"RODGERS, CATHY MCMORRIS","REP","H"
"H6NJ12136",2000,"LANCE, LEONARD","REP","H"
"H0OH18077",2000,"GIBBS, BOB","REP","H"
"H4PA15087",2000,"DENT, CHARLES W REP","REP","H"
"H6CO03139",2000,"TIPTON, SCOTT R.","REP","H"
"H4PA13124",2000,"SCHWARTZ, ALLYSON Y.","DEM","H"
"H0NH01217",2000,"GUINTA, FRANK","REP","H"
"H8CA34068",2000,"NAPOLITANO, GRACE","DEM","H"
"H8TN02069",2000,"DUNCAN, JOHN J REP. JR.","REP","H"
"H2IL20042",2000,"SHIMKUS, JOHN M","REP","H"
"H8CA36097",2000,"HAHN, JANICE","DEM","H"
"H6WA09025",2000,"SMITH, D ADAM","DEM","H"
"H8CA41063",2000,"MILLER, GARY G","REP","H"
"H4IL03077",2000,"LIPINSKI, DANIEL","DEM","H"
"H8OH07065",2000,"AUSTRIA, STEVE C","REP","H"
"H2PA06080",2000,"HOLDEN, TIMOTHY T","DEM","H"
"H0NJ10026",2000,"PAYNE, DONAL M.","DEM","H"
"H0AZ01259",2000,"GOSAR, PAUL ANTHONY","REP","H"
"H6OH13133",1522,"SUTTON, BETTY S","DEM","H"
"H2SC02042",1500,"CLYBURN, JAMES E","DEM","H"
"H8CA09060",1500,"LEE, BARBARA","DEM","H"
"H8CA01109",1500,"THOMPSON, MIKE MR.","DEM","H"
"H6KY03124",1500,"YARMUTH, JOHN A MR","DEM","H"
"H0CT03072",1250,"DELAURO, ROSA L","DEM","H"
"H0MO06073",1000,"GRAVES, SAMUEL B 'SAM'","REP","H"
"H0DE01017",1000,"CARNEY, JOHN CHARLES JR","DEM","H"
"H4TX09095",1000,"GREEN, ALEXANDER","DEM","H"
"H8IL18043",1000,"SCHOCK, AARON JON MR.","REP","H"
"H6AZ08038",1000,"GIFFORDS, GABRIELLE","DEM","H"
"H8MN03077",1000,"PAULSEN, ERIK","REP","H"
"H6TX00115",1000,"REYES, SILVESTRE","DEM","H"
"H0CA48024",1000,"ISSA, DARRELL ","REP","H"
"H8VA11062",1000,"CONNOLLY, GERRY","DEM","H"
"H2FL25018",1000,"DIAZ-BALART, MARIO","REP","H"
"H0TN08287",1000,"FLINN, GEORGE S. JR.","REP","H"
"H4MA06033",1000,"TIERNEY, JOHN F","DEM","H"
"H2NY11017",1000,"TOWNS, EDOLPHUS","DEM","H"
"H6CA39020",1000,"ROYCE, EDWARD R","REP","H"
"H0AL07086",1000,"SEWELL, TERRYCINA ANDREA","DEM","H"
"H2AZ09019",1000,"SINEMA, KYRSTEN","DEM","H"
"H8WI09050",1000,"SENSENBRENNER, F JAMES JR","REP","H"
"H6CA05195",1000,"MATSUI, DORIS","DEM","H"
"H2OH03067",1000,"TURNER, MICHAEL R","REP","H"
"H4MS02068",1000,"THOMPSON, BENNIE G","DEM","H"
"H0NY19139",1000,"HAYWORTH, NAN","REP","H"
"H4PA08074",1000,"FITZPATRICK, MICHAEL G.","REP","H"
"H2NY14037",1000,"MALONEY, CAROLYN B","DEM","H"
"H0MO07113",1000,"LONG, BILLY","REP","H"
"H2IL01042",1000,"RUSH, BOBBY L","DEM","H"
"H2GU00033",1000,"BORDALLO, MADELEINE Z. MS.","DEM","H"
"H2MD08126",1000,"VAN HOLLEN, CHRIS","DEM","H"
"H0FL17068",1000,"WILSON, FREDERICA S","DEM","H"
"H2PA06114",1000,"GERLACH, JIM","REP","H"
"H2CA00120",1000,"BROWNLEY, JULIA","DEM","H"
"H2AL06126",1000,"BEASON, SCOTT","REP","H"
"H2WA04041",1000,"HASTINGS, DOC","REP","H"
"H4TX28046",1000,"CANSECO, FRANCISCO RAUL QUICO R.","REP","H"
"H0AR02107",1000,"GRIFFIN, JOHN TIMOTHY","REP","H"
"H0MO00019",1000,"CARNAHAN, JOHN RUSSELL","DEM","H"
"H0SC04257",1000,"GOWDY, TREY","REP","H"
"H6TN09068",1000,"COHEN, STEPHEN IRA","DEM","H"
"H2IL12114",1000,"HARRIMAN, BRAD J","DEM","H"
"H2MT00047",1000,"GILLAN, KIM","DEM","H"
"H2CA47105",1000,"DELONG, GARY","REP","H"
"H4TX18054",1000,"LEE, SHEILA JACKSON","DEM","H"
"H0CO04122",1000,"GARDNER, CORY","REP","H"
"H8CA37079",1000,"LEWIS, JERRY","REP","H"
"H4TX06117",1000,"BARTON, JOE LINUS","REP","H"
"H0WI07051",1000,"DUFFY, SEAN","REP","H"
"H2PA02055",1000,"FATTAH, CHAKA MR.","DEM","H"
"H2NC09134",1000,"PITTENGER, ROBERT M THE HONORABLE","REP","H"
"H2TX03118",1000,"JOHNSON, SAMUEL ROBERT","REP","H"
"H8AZ01104",1000,"KIRKPATRICK, ANN","DEM","H"
"H0WA03187",1000,"HERRERA BEUTLER, JAIME","REP","H"
"H6MI01028",1000,"CONYERS, JOHN JR.","DEM","H"
"H2PA18143",1000,"MURPHY, TIM","REP","H"
"H2FL14053",1000,"FRANKEL, LOIS J.","DEM","H"
"H6IL02124",1000,"JACKSON, JESSE JR","DEM","H"
"H0TX27061",1000,"FARENTHOLD, RANDOLPH BLAKE","REP","H"
"H2MD02160",1000,"RUPPERSBERGER, C.A. DUTCH","DEM","H"
"H2PA11098",1000,"BARLETTA, LOU","REP","H"
"H0IL08090",1000,"WALSH, JOE","REP","H"
"H2NC12021",1000,"WATT, MELVIN L","DEM","H"
"H0NY29054",1000,"REED, THOMAS W II","REP","H"
"H0IL11052",1000,"KINZINGER, ADAM","REP","H"
"H2NY01067",1000,"BISHOP, TIMOTHY","DEM","H"
"H0AZ08056",1000,"PATON, JONATHAN","REP","H"
"H6PA04110",1000,"ALTMIRE, JASON","DEM","H"
"H0FL24049",1000,"ADAMS, SANDY","REP","H"
"H0NY20095",1000,"GIBSON, CHRISTOPHER P","REP","H"
"H2OK01093",1000,"SULLIVAN, JOHN","REP","H"
"H6OH02086",1000,"SCHMIDT, JEANNETTE H","REP","H"
"H2TX00015",1000,"JOHNSON, EDDIE BERNICE","DEM","H"
"H0IL15053",1000,"JOHNSON, TIMOTHY V","REP","H"
"H2CA00104",1000,"LOWENTHAL, ALAN","DEM","H"
"H2HI02110",1000,"HANABUSA, COLLEEN WAKAKO","DEM","H"
"H0WV02138",1000,"CAPITO, SHELLEY MOORE MS.","REP","H"
"H6FL11126",1000,"CASTOR, KATHY","DEM","H"
"H4NC01046",1000,"BUTTERFIELD, G. K.","DEM","H"
"H8KS02090",1000,"JENKINS, LYNN","REP","H"
"H0IN02125",1000,"MESSER, ALLEN LUCAS","REP","H"
