gene_id	symbol	lib15-rpkm-heat	lib17-rpkm-control       (right/left: >2  up expressed, < 0.5 down expressed)
374019	SOX3	0.3	0.21
374020	FECH	20.71	29.57
374021	RNF111	7.58	6.07
374022	DPYSL4	0.06	0
374024	TWSG1	16.07	22.39
374025	SMN	53.94	76.38
374026	ARNT	57.33	72.47
374027	NEB	1.72	1.32
374028	CLDN5	0	0
374030	PCBD2	27.78	37.44
374031	NOTCH2	37.81	35.47
374033	UGT8	9.57	25.25
374034	AFAP1	5.08	3.12
374035	GIT2	23.91	32.06
374037	HAT1	9.39	16.98
374038	CBL	14.12	8.03
374039	OGN	0.06	0
374040	DIAPH1	20.05	25.87
374042	SOD2	45.68	54.74
374046	COL11A1	0.1	0.27
374047	CCND2	62.28	37.87
374048	MYOD1	0.32	0.06
374049	TPD52L1	0.37	0.71
374050	DDB1	29.99	41.98
374051	HOXA2	1.08	0.84
374052	F5	7.39	25.08
374053	RPS17	224.13	216.01
374054	DAZL	0	0
374055	TRAF5	0.09	0.23
374056	GPX4	96.19	107
374058	ITGB1	181.03	192.36
374059	FZD8	8.34	6.19
374060	FZD7	1.51	0.83
374062	FZD1	10.73	8.97
374065	KCNMA1	8.64	1.79
374066	DCXR	24.49	44.34
374067	PKNOX2	2.19	3.17
374068	CDH5	0.04	0
374069	MYH2	0	0
374071	KHDRBS1	29.02	44.8
374072	SLC25A6	596.09	695.38
374073	CFDP1	49.07	46.76
374074	HIRA	47.83	43.5
374075	BTK	0.23	0.26
374076	SIAH1	27.76	24.7
374078	BIRC5	4.82	15.92
374079	OPTN	16.17	21.37
374080	TLE4	29.64	12.2
374083	DAB1	0.42	0.52
374084	ERAL1	18.08	20.91
374087	ADARB1	5.74	11.43
374088	IMPG1	0.05	0.02
374089	SEMA3E	0.02	0
374090	SEMA3C	8.2	2.26
374091	P4HB	559.06	658.09
374092	CRY2	27.55	16.45
374093	CRY1	114.23	131.36
374094	TGFBR1	50.4	38.33
374095	ENTPD8	0.65	1.23
374096	SMAD6	9.74	5.1
374098	KCNIP2	0.13	0
374100	FLT1	0.01	0.04
374102	SDC2	255.54	229.42
374103	ZIC1	0.41	0.38
374105	RIMBP2	2.62	3.93
374106	CDKN1B	13.49	6.6
374108	FSHB	0	0
374110	PTGDS	2.63	12.58
374111	CELF2	0	0.05
374113	ADAM10	40.3	37.86
374115	ARNTL	7.28	16.59
374116	PER2	31.45	28.36
374117	IGJ	0.18	0.09
374118	SUFU	24.86	22.06
374119	NEDD4L	6.24	7.17
374120	PPARA	9.66	5.63
374122	NDUFS4	13.98	19.49
374123	UBE2I	98.94	107.24
374125	LITAF	10.05	37.22
374126	NAB1	74.17	53.05
374127	PAX3	0.31	1.08
374128	PDGFB	0.11	0.29
374129	LMO2	0.06	0.08
374131	NR3C2	4.38	5.72
374132	RPL39	631.31	575.71
374133	RPL35	562.52	567.96
374134	RPL14	509.12	480.97
374135	CTGF	2.51	2.46
374136	IL1RL1	0	0
374137	MEOX2	0.06	0.04
374138	HIPK2	85.08	120.11
374139	BRCA2	1.62	5.1
374141	TLR2-1	0.02	0.03
374142	WNT3	0	0
374143	KCND2	0.03	0
374144	PTS	10.54	15.83
374146	ERG	0.16	0
374147	BMPR2	16.11	15.74
374148	SOX9	15.01	11.06
374150	ID4	24.4	17.99
374155	ST8SIA4	1.29	2.21
374156	DKK1	0	0
374157	NRP2	16.18	25.05
374158	DFFB	9.69	7.95
374159	ATP5A1	221.93	291.69
374161	THYN1	26.74	43.69
374162	MKRN2	24.33	28.43
374163	HSP90B1	1257.27	395.74
374165	FABP4	0	0
374166	P2RX4	9.92	21.51
374168	WNT7A	2.67	0.93
374169	CACNA1B	0.08	0.1
374173	SLIT3	0.01	0.03
374175	CAMK2A	0.07	0
374177	HIF1A	19.77	37.02
374179	IRF4	0.57	0.53
374180	ENAH	44.07	33.01
374182	ROCK2	15.15	18.03
374184	IRX5	1.22	0.54
374185	IRX1	3.21	1.17
374186	UFD1L	50.97	52.25
374187	PTCH2	0.99	1
374188	PSEN2	24.65	30.1
374189	ME1	4.47	11.28
374191	PDCD4	35.2	46.33
374192	DUSP1	49.67	82.78
374193	GAPDH	886.59	876.37
374194	UBE3B	5.49	4.72
374196	PDGFA	74.1	60.19
374197	ACTR3	154.63	139.82
374198	APP	289.57	339.73
374199	JAK2	4.11	3.96
374200	SOX18	0	0
374201	PITX1	0.03	0.15
374202	TBX3	9.23	27.58
374203	FBN2	0.2	0.14
374204	QKI	47.75	47.14
374205	CDX2	0	0
374206	SAP18	128.33	136.06
374207	HDAC4	10.43	11.5
374208	PTPRG	4.11	8.56
374209	ITGB3	0.14	0.27
374211	CRABP1	0.29	0.09
374212	ADORA1	0	0.04
374213	ACVR2B	1.22	1.41
374214	GABRA1	0	0
374215	POU1F1	0.04	0.09
374216	GUCA1A	0.88	0.68
374218	CRHR1	0	0
374222	GLDC	2.07	2.03
374223	LEPR	0.33	0.21
374224	PAFAH1B1	42.9	42.6
374226	MAGOH	70.37	101.39
374228	KCND3	0	0
374229	TNFSF13B	0.02	0
374231	FOXO1A	4.81	12.61
374232	KAT2A	87.45	16.32
374233	FKBP1A	607.15	498.61
374234	SPTAN1	106.79	65.46
374240	SOX1	0	0
374241	PI15	83.29	45
374242	DCX	0.36	0.26
374243	WNT2B	0.42	0.27
374244	ATP2B1	92.61	78.95
374246	NBN	20.85	13.67
374249	GDF5	0	0
374251	TGFBR3	6.13	2.63
374252	TNKS	7.27	19.39
374253	TNKS2	9.28	14.51
374254	LSP1	1.47	4.57
374255	MRPL23	28.44	32.14
374256	CD81	47.54	32.03
374258	F9	0.38	1.2
374259	CACNB4	5.14	4.1
374260	STT3A	70.88	73.35
374264	LIX1	0	0
374266	XIRP1	0.13	0.05
374267	MBL2	5.81	3.68
374268	PIK3AP1	3.77	2.87
374269	TP63	0	0
374270	IL16	0.39	0.28
374272	DUSP6	3.88	8.86
374273	SURF4	147.99	138.81
374274	TIAL1	60.38	59.37
378424	ATXN3	10.75	13.42
378779	BMP2	35.26	19.64
378781	GH	0.23	0.4
378782	EPHA1	1.14	2.6
378783	KIT	28.1	45.4
378784	NPFFR1	0.29	0.16
378785	NPVF	0.12	0
378788	FZD6	5.51	6.54
378789	SLC15A1	0	0
378790	RTN4	68.62	80.41
378791	RTN1	0	0.15
378792	RHBG	2.32	4.22
378793	TRMT11	2.76	8.45
378796	CAV3	0	0.17
378797	GJB1	25.17	35
378798	ARSH	0.03	0
378799	MSH2	17.34	23.65
378800	SOSTDC1	0.08	0.32
378801	STK25	60.74	51
378802	SLC2A8	14.57	19.86
378803	TNFRSF11B	0.2	0.38
378804	PPP3R1	32.15	37.27
378890	PPP3CB	26.5	42.31
378891	CSNK1E	78.88	53.61
378892	SMARCB1	93.78	80.46
378893	FANCG	2.02	2.44
378894	TNFSF10	2.19	8.73
378895	STX2	24.91	28.87
378896	TERF1	7.53	13.36
378897	THY1	0.91	0.04
378898	DDAH1	45.14	31.48
378899	FTD	0.73	1.87
378901	RGS4	0.19	0.35
378902	LOC378902	10.21	9.09
378903	CREM	137.62	34.21
378905	FAM53A	12.78	9.27
378906	ZP3	0.18	0.39
378907	SGMS1	11.61	19.26
378908	SLA	0	0.09
378909	PYGL	28.01	43.62
378910	RECQL	23.55	21.16
378911	GHSR	0.04	0.45
378912	RGS2	41.11	41.2
378913	FLNB	240.32	193.41
378915	PSMB7	234.75	264.19
378916	LHFPL5	0	0
378917	FGF9	0.41	0
378918	TRAM1	260.46	220.38
378919	TRIB2	38.81	9.69
378921	RIPK1	28.69	35.84
378922	BUB1B	5.07	16.03
378924	HAL	1.24	0.96
378926	ANKRD1	0.51	0.24
378927	BRS3	0	0
378928	GRPR	0	0.13
378929	PDE6H	0	0
378930	TNFSF8	0	0
379037	TERC	0.26	0
386571	SPARC	0.56	0.47
386572	GRB2	507.84	570.55
386574	NFKB2	4.75	5.37
386575	YBX1	1433.87	1487.77
386577	CHRNA5	0.53	0.28
386578	CHRNA3	0	0.1
386580	PTPRC	0.93	0.93
386581	ATP4B	0.04	0.05
386582	RB1	13.57	15.63
386583	MMP2	0	0
386585	NR2F2	56.22	20.77
386586	OCM2	0.18	0.23
386747	FMN1	3.5	7.35
387330	PAX5	1.08	0.14
395067	CRIM1	4.02	3.24
395070	POFUT1	15.8	18.45
395071	FUT11	15.17	10.09
395072	CHIA	7.57	7.02
395073	FUT10	0.38	0.1
395074	CCDC80	0.27	2.07
395075	ARC	0.13	0.06
395076	CDKN2B	89.6	41.22
395078	ALG6	15.15	18.99
395079	FBN2	0	0
395080	NT5C3	37.75	64.77
395081	TPX2	33.18	78.61
395082	CCL20	0.21	1.26
395083	TNFRSF1B	2.82	6.79
395084	ALC	0.14	0.36
395085	PROC	31.31	33.66
395086	F7	3.74	5.01
395087	TSPAN32	0.08	0.1
395088	ZMYND19	21.02	24.57
395089	WRNIP1	5.69	8.62
395090	TNFRSF8	2.71	6.45
395091	PDE6G	0.54	0.35
395092	PDE6B	0.05	0
395093	PHACTR1	0.3	0.32
395094	FGFBP2	0.12	0.16
395095	LOC395095	0	0
395096	TNFRSF6B	0	0.06
395097	IGF2	0.36	0
395098	DBC1	0.05	0.06
395099	CREB1	11.13	12.76
395100	LOC395100	0.47	1.21
395101	UNC5C	0.37	0.55
395102	POLH	8.09	13.59
395104	TBX18	2.97	1.11
395105	CRHR2	0	0.25
395106	SS2	1.93	1.65
395107	FGFRL1	10.77	16.09
395108	GZMA	0.05	0
395109	RFTN1	3.32	3.3
395110	RGS3	0.02	0.07
395111	IL17F	0	0
395112	POFUT2	17.89	24.62
395113	PPP3CA	11.62	14.63
395114	RHOQ	8.96	17.08
395115	KCNA5	0	0
395116	KCNA10	0	0
395117	KCNA2	0	0
395118	RHAG	0	0
395119	ARVCF	7.97	11.82
395120	STK40	22.83	27.35
395121	RHD	0.47	1.06
395122	TERF2IP	77.57	69.61
395123	AIP	7.05	10.91
395124	CCNL2	50.17	58.21
395126	USP7	64.2	76.05
395127	AVEN	18.62	20.07
395128	HES1	24	32.03
395129	ANGPT1	0	0
395130	OPTC	0	0.06
395131	SLC34A2	0.06	0.07
395132	SMAD3	50.81	55.17
395133	SGK1	39.17	64.59
395134	NDC80	10.31	26.47
395135	NUF2	11.47	36.42
395136	PCSK2	0.08	0.02
395138	ST3GAL6	2.6	3.06
395139	ST3GAL2	12.69	9.64
395140	HS2ST1	8.7	14.03
395141	HS6ST1	29.41	55.04
395142	ITGB5	4.73	5.55
395145	HMGCR	78.68	87.16
395146	TCF3	44.29	41.73
395147	EIF2AK2	9.76	5.89
395148	NEBL	1.26	2.26
395149	MRAS	4.26	1.89
395150	HS6ST2	15.21	9.45
395152	AXIN2	0	0
395153	PTPRU	16.17	17.25
395154	DPYSL3	16.04	23.39
395155	DPYSL2	34.89	16.84
395156	CRMP1	119.83	68.26
395157	HNRNPH1	385.15	339.19
395158	NF2	37.85	53.5
395159	LOC395159	0	0
395161	OAF	222.71	169.94
395162	SHISA2	6.71	3.5
395163	FSTL4	18.31	14.7
395165	BHLHE23	0	0.02
395166	FAT4	0	0.03
395167	FAT3	0.03	0.06
395168	FAT1	30.87	34.99
395170	RGS9BP	13.2	9.51
395171	DSTYK	3.95	3.26
395172	DHRS11	8.92	9.99
395173	APTX	17.69	8.72
395174	MTF2	15.39	13.9
395175	EBF3	0	0.18
395176	EBF2	0.23	0.12
395177	BMP10	0	0
395178	UBA7	6.71	7.85
395179	ROR1	1.06	1.18
395180	CXCL12	0.1	0.13
395181	RPSA	1058.96	986.13
395182	ST6GALNAC4	13.3	7.88
395183	BSX	0.06	0
395184	SLC35A1	7.23	8.59
395185	SLC35B1	92.48	85.71
395186	IL17RD	9.6	12.82
395188	SMC3	19.95	36.76
395189	SMC4	13.31	29.29
395190	P2RX1	0	0
395191	OTX2	0	0
395192	HEP21	0	0
395193	NR13	47.04	48.71
395194	TLN1	15.78	18.04
395196	IL1B	0.22	0.49
395197	RAB5C	90.39	102.59
395198	CASQ2	0.06	0
395199	IL2RG	0.16	0.15
395201	SH3GL3	1.01	0.29
395202	SH3GL1	47.76	42.73
395203	SH3GL2	0.16	1.58
395204	PCM1	11.67	16.14
395205	NODAL	0	0
395206	CHST10	7.94	8.41
395207	CENPI	5.15	10.11
395208	MAB21L1	0.24	0.19
395209	RARRES1	0.1	0.2
395210	SPP1	27.98	14.56
395214	RGMA	1.12	0.85
395215	SDK2	0.41	0.27
395216	TMEM121	3.56	1.87
395217	FBP2	0.79	0.75
395218	FBP1	63.04	102.35
395219	SOCS2	10.72	10.63
395220	OGCHI	28.03	54.58
395221	NR1H3	52.29	34.11
395222	MTFR1	59.71	54.5
395225	TOB1	188.43	124.23
395226	IFRD1	169.83	172.95
395227	SULT1B1	3.09	4.29
395228	RDM1	5.83	7.98
395229	TCF7	1.46	0.73
395231	HOXA3	0.13	0.13
395232	EIF4A2	677.5	498.75
395233	DYRK1A	13.79	12.79
395234	INVS	6.51	5.46
395235	WNT6	0.05	0.06
395236	BID	36.74	44.61
395237	SFRP1	0.08	0.03
395238	WFDC1	0	0.05
395239	KCNIP4	0.63	0.8
395241	HOPX	0.19	0.08
395242	EMB	0	0.04
395243	IRF10	5.86	10.14
395244	UNC93B1	4.95	10.05
395245	MSX2	3.82	4.39
395246	ACVR1	129.83	107.21
395247	SMAD2	11.84	10.05
395248	KCNT1	7.42	1.65
395249	DDX1	58.82	67.89
395250	SSBP3	45.52	62
395251	NSG1	25.68	16.09
395252	MESP2	0.47	0.12
395253	NR2C2	5.75	6.5
395254	FKBP1B	2	3.12
395255	FIGF	0.34	0.24
395256	OC-116	0	0
395257	CBFB	52.85	50.6
395258	IL15	2.7	2.33
395259	TRPV1	0.25	0.37
395262	LIFR	11.88	5.22
395263	DBI	144.11	192.6
395264	ALDH1A1	6936.08	1992.58
395266	CPZ	1.03	1.03
395267	FMO6P	97.73	212.16
395268	SSB	82.61	95.76
395269	RPL5	710.45	681.22
395270	MOCS1	14.55	21.85
395271	DMBX1	0	0
395272	CLTC	112.18	140.85
395273	GJD2	0	0
395274	FAS	4.07	4.21
395275	ZW10	18.04	23.55
395276	CPA1	0	0
395277	PARK7	134.73	175.58
395278	GJA1	2.05	2.82
395279	MYH7B	37.54	42.12
395280	XIAP	12.54	17.02
395282	ID1	15.01	12.74
395283	TRAIL-LIKE	0.24	0.37
395284	CASP8	37.54	35.79
395285	NR0B1	3.54	4.31
395289	NR2E3	0	0
395290	HOXA7	6.87	9.35
395291	ROBO2	0.32	0.44
395292	ROBO1	14.22	22.31
395293	SLIT1	0.08	0.42
395294	IL2RA	0.12	0.15
395295	EIF2S2	181.28	180.76
395298	SNRPB	167.13	244.4
395299	SOCS3	40.19	34.79
395300	SULT1C3	171.92	140.45
395301	KCNMB1	0	0
395302	SP3	15.48	19.1
395304	SREBF2	88.48	86.95
395305	SSTR2	0.29	0.13
395306	F2	95.42	91.01
395307	HOXA4	0.8	0.77
395308	SFTPA1	0.52	0.17
395309	IKZF2	0.18	0.68
395312	IL18	8.15	6.26
395313	MX1	0.27	0.22
395314	CHAT	0.05	0.03
395315	GART	4.67	7.1
395316	CENPH	4.8	18.95
395317	CNTN5	0.04	0.07
395318	PSMA7	284.73	277.96
395319	ACZ	0	0
395320	CDX4	0	0
395321	TULP1	0.6	0.67
395322	NKX2-1	0.04	0
395323	KDR	0.14	0.07
395324	CXCR4	27.12	3.09
395326	NFIL3	12.86	15.24
395327	HOXA11	0.71	1.33
395328	HOXD11	0	0
395329	VIPR1	42.77	83.28
395330	PTPRJ	2.39	5.03
395331	ST7L	10.12	15.31
395332	TES	90.59	104.56
395333	MOXD1	0.03	0.04
395334	OPN4-1	0.04	0.14
395335	CISH	1.37	1.56
395336	TYRO3	11.35	4.95
395337	IL6	0.05	0
395338	AKR1B10	148.39	89.33
395339	ADCY9	10.39	8.13
395340	ADCY5	2.66	1.14
395341	ENS-3	0	0
395342	CRTAM	0.03	0
395343	DAD1	165.45	149.54
395344	SPINZ	22.96	15.25
395345	FABP1	3.92	32.33
395346	BCMO1	0.14	0.3
395347	MXRA8	0.6	0.81
395348	ACTR6	43.18	60.42
395349	FSTL1	13.35	11.1
395350	MYH7	0.03	0.03
395351	DPF3	0.5	1.88
395353	FKBP3	94.58	106.92
395354	CBX4	7.08	13.13
395355	CBX3	83.29	85.42
395356	MINPP1	8.46	6.22
395357	CENPF	2.08	7.68
395358	BCHE	13.74	24.11
395359	SALL3	7.96	4.36
395360	EIF2AK1	10.97	18.1
395362	CD4	0.03	0.04
395363	DEFB1	0	0.2
395365	ADRM1	82.94	101.26
395367	AVR2	0	0
395368	CGNRH-R	0.16	0.07
395369	CRISPLD1	9.18	14.82
395370	U2AF1	32.99	50.32
395372	CLSTN1	46.46	63.45
395373	ACLY	354.85	353.85
395374	DBT	27.03	28.11
395375	BCKDHB	16.19	27.47
395376	PRKDC	1.4	2.44
395377	GBX1	0.9	0.25
395378	CACNG3	11.5	9.53
395380	CD164	163.05	191.48
395381	MUC5B	0.21	0.14
395382	GPR149	0.04	0.08
395383	SLC16A3	22.04	17.84
395384	C4BPA	54.57	50.31
395385	CD40	0.13	0.17
395386	CLEC3B	0.28	0.35
395387	MMP9	2.58	0.7
395388	ATOH7	0	0
395389	ALDH1A3	44.79	13.28
395390	RBBP7	8.25	11.26
395391	SNCB	0.35	0.75
395392	SNCG	0.74	0.85
395393	SNCA	0	0
395394	FGF19	0.03	0.03
395395	GAD2	0.01	0.09
395396	WNT3A	0.68	0
395397	CDX1	0	0.07
395398	NRXN1	0	0.02
395399	CITED2	4.9	1.37
395400	BAZ2B	9.28	12.77
395401	ATM	3.76	4.45
395402	SLC34A1	0.06	0.07
395403	TRA2B	88.81	112.29
395404	FETUB	37.5	60.97
395405	TWIST2	0	0
395406	ODZ4	3.02	1.77
395409	RYK	36.24	24.5
395410	ABL2	12.68	14.98
395411	ZBTB7A	22.89	14.31
395412	ITPR1	3.27	3.44
395414	CCT4	244.26	179.01
395415	MGAT4C	0.47	0.87
395416	ABCC1	24.11	18.44
395417	SIK1	47.45	31.95
395419	MSGN1	0.09	0
395420	F13A1	0.19	0.33
395421	STAR	1.48	1.27
395422	OPCML	5.31	1.6
395424	HINT1	88.94	106.46
395427	TRPV4	0.05	0
395428	MBD4	13.42	20.49
395429	POSTN	0.05	0
395432	FGF10	0	0
395433	NPAS2	0.96	4.51
395434	POPDC3	2.31	2.78
395435	PLEKHA2	4.73	8.79
395436	USPL1	13.79	14.1
395437	CFC1B	0.05	0
395438	LCP2	0.03	0.04
395440	LRRC17	0.03	0
395441	TLL1	0.08	0
395442	RHOA	402.89	376.69
395443	SLC1A3	0	0
395444	HABP4	1.66	3.04
395445	BOK	0.33	0.71
395446	SALL1	1.66	1.83
395447	DDX4	0.21	0
395449	RAD54B	9.01	9.51
395450	NTM	0.29	0.12
395451	CXCL14	12.11	1.31
395453	FGF18	0.58	0.37
395454	PCSK6	8.24	10.06
395455	PCSK7	14.25	25.32
395456	PCSK5	4.44	10.64
395457	FURIN	15.42	26.08
395458	SLC6A2	0.07	0.06
395460	TM9SF3	65.96	85.61
395461	ESPN	1.77	2.55
395463	FOXK1	16.35	17.54
395465	CITED4	5.93	4.16
395466	CSPG5	0.99	2.53
395468	CCL4	0.16	0
395469	PDGFC	0.33	0.09
395472	TCIRG1	12.47	13.61
395473	ATP6V0A2	9.48	7.86
395474	ATP6V0A1	32.21	23.72
395475	KANK1	6.57	6.95
395476	CASP3	20.41	17.45
395477	CASP6	30.8	30.52
395478	PPP1R12B	6.99	5.26
395479	PPARD	10.84	8.39
395480	RGN	0.4	0
395481	ANXA6	0.32	0.13
395483	SOX8	0.07	0.19
395484	OTOR	0	0.16
395485	CD40LG	0	0
395486	POLR2F	119.88	124.59
395487	MYO6	5.99	12.09
395488	MARCO	0	0
395489	C1H21orf91	7.56	8.31
395490	TAX1BP1	56.05	65.25
395494	BMP7	0.06	0.09
395496	SLC5A1	0.69	0.68
395497	ATP6V1B2	51.19	46.87
395498	VDAC2	425.15	526.04
395499	TAOK3	37.67	36.25
395500	MKRN1	78.36	77.66
395502	HOXB3	0	0.19
395503	RUNX1T1	0.14	0.59
395504	GATM	0.2	0.04
395505	PBX1	18.22	11.21
395506	HDAC3	12.05	19.63
395507	P2RX5	0.32	0.74
395508	TCF7L2	3.29	4.13
395509	PDGFRA	0	0.02
395510	TDG	21.33	34.09
395511	RDX	90.93	104.35
395512	EBF1	0.17	0.22
395514	EIF5B	98.21	59.04
395515	TXLNB	0.14	0.05
395516	DTX4	30.24	13.23
395517	TBPL1	16.32	12.65
395518	MAFK	53.63	43.01
395519	MAFF	24.7	30.56
395520	C5H11orf58	39.68	65.38
395522	CHRNA9	0.12	0.21
395526	SOX14	0	0
395527	CD9	0	0
395528	UBE2J1	14.87	13.66
395529	LEFTY2	0.03	0
395530	COL4A1	4.57	3
395531	NID1	0.91	2.11
395532	LOC395532	0.23	0
395533	MEOX1	0	0
395534	MYH15	1.87	1.84
395535	OLFM1	0.87	0.73
395536	VSX2	0.17	0.49
395537	VSX1	0.12	0
395538	C1QBP	205.49	210.27
395542	TEAD4	6.33	5.01
395543	SMAD9	4.62	3.24
395545	FRZB	1.68	0.46
395546	SFRP2	0.21	0.27
395548	PHOX2B	0.07	0
395549	DBH	0.03	0
395550	LY6E	27.83	42.03
395551	CCL4	0	0
395552	CCL1	0	0
395553	RBP3	0	0
395554	FGF14	0.11	0.34
395555	MRE11A	14.15	22.34
395556	STAT5B	22.54	33.22
395557	NUDT16L1	158.29	228.13
395559	EPHA4	6.53	5.16
395560	NRP1	46.33	64.26
395561	WNT4	0.38	0.05
395562	WNT11	6.58	1.65
395565	VCAN	0.13	0.09
395567	SOUL	0.24	0.65
395568	COL5A1	0.04	0.07
395569	GDNF	0	0
395570	TOP2A	25.46	112.39
395571	FZ-8	4.76	11.34
395572	FZD3	15.96	13.65
395573	SOX10	0.02	0
395574	PAX2	0.1	1.22
395575	ESR2	0.14	0.09
395576	DACH2	4.93	9.59
395577	NEUROG2	0.18	0.11
395578	NHLH2	0	0
395579	KCNN2	2.02	1.55
395580	PAOX	4.18	7.59
395582	VAX1	0.17	0.33
395584	SPRY2	1.68	5.51
395586	TSPAN18	10.09	10.32
395588	MEIS2	1.22	1.25
395591	NKX6-2	4.54	3.63
395592	TH	0.08	0
395594	HAS2	0.09	0
395596	EPAS1	1.67	3.2
395598	TERF2	27.98	34.07
395599	DMN	4.47	2.69
395600	LECT1	0.22	0.03
395602	PSAP	242.73	221.05
395604	CHRNB3	0.08	0
395606	CHRNA4	0	0
395607	CHRNA2	0.08	0
395608	CHRNA1	0	0
395609	MDM2	12.27	15.78
395610	ANGPT2	0.02	0.03
395611	LOC395611	10.08	14.58
395612	GSTA3	31.78	38.44
395613	CHRNB4	0.07	0.1
395615	SHH	54	52.68
395618	RGS6	0.22	0.1
395619	RGS12	2.1	2.63
395620	RGS7	0.25	0.48
395621	RGS11	0.77	0.19
395622	ADMP	1.59	1.67
395623	CER1	0	0.09
395624	FOXF1	138.18	146.72
395625	EFNB2	2.41	4.08
395626	UCHL3	38.95	64.62
395627	MAPKAP1	18.92	25.22
395629	DDX5	195.52	313.85
395630	RNF12	21.66	26.13
395631	LDB2	0.44	2.04
395633	MYF5	0	0
395634	ELAVL4	2.2	1.85
395635	HDAC2	81.22	103.32
395637	ELAVL1	71.5	59.12
395638	FOLR1	0.06	0.04
395639	NUMB	44.4	43.35
395640	CHUNK-1	0	0
395642	DUSP4	10.44	14.35
395643	PDLIM4	0.88	0.06
395644	USP15	24	38.39
395645	RGS17	4.83	2.82
395646	RGS20	20.03	3.81
395647	RAP1GAP	1.69	2.83
395648	GPRIN2	0.13	0.3
395650	PHOSPHO1	16.06	20.57
395651	BKJ	0.17	0
395652	FKBP9	62.17	105.28
395653	HPRT1	17.54	18.68
395654	HBEGF	5.26	14.47
