ADA	comp63790_c0_seq3
MEI4	amisp034172
LOC101928603	comp1035627_c0_seq1
LOC101928750	amisp026123
LOC101928758	comp62831_c0_seq4
LOC101928841	comp70225_c1_seq2
LOC101928871	comp17302_c0_seq1
LOC101928987	amisp031579
LOC101928991	comp41534_c1_seq1
LOC101929169	amisp031139
LOC101929274	comp1504089_c0_seq1
LOC101929327	amisp015706
LOC101929403	comp170915_c0_seq1
LOC101929469	comp56561_c0_seq1
LOC101929668	comp58560_c0_seq1
LOC101929742	comp28780_c0_seq2
LOC101929792	comp69035_c3_seq67
LOC101929842	amisp028702
LOC101929876	amisp011394
LOC101929880	amisp011129
RNF41	comp68921_c0_seq3
LOC101930115	comp57939_c0_seq2
LOC101930123	amisp014585
LOC101930198	amisp000138
LOC101930405	amisp009348
TSHZ1	amisp013579
ALG3	amisp020843
PRMT3	amisp026985
PSME3	amisp007420
MPHOSPH9	amisp015357
MPHOSPH10	amisp018763
ADAM10	amisp021028
CDK5	comp62713_c0_seq1
MPHOSPH6	amisp030358
NME6	comp60126_c0_seq1
CALCRL	amisp000126
NUTF2	comp57863_c1_seq2
MPZL2	amisp027057
TRIM13	amisp016400
INADL	amisp031754
USPL1	amisp023372
EIF1	amisp008183
CDK6	amisp021718
TOPORS	amisp009359
FLOT1	comp65382_c1_seq1
PSMD14	amisp007070
OLIG2	amisp012191
PRG4	amisp028322
CTDSPL	comp69986_c3_seq12
ANGPTL7	comp1220295_c0_seq1
KLRG1	amisp015550
CDK7	comp69580_c1_seq16
GDF11	amisp011407
TRIB1	amisp031159
GPA33	amisp011908
CD96	amisp024085
PLIN3	amisp032351
MFSD10	amisp012889
STX6	amisp016705
COQ7	amisp017457
RCAN2	comp65564_c0_seq2
MSLN	amisp007614
LRRC23	amisp005228
LRRC17	amisp017372
RASGRP2	amisp003162
HNRNPR	amisp006511
SLC35B1	amisp010706
DCAF7	amisp007330
AP3S2	amisp017934
CDK8	amisp026397
MRPS31	amisp004564
CALCOCO2	amisp032042
KCNMB2	amisp020169
GPHN	comp70744_c9_seq2
RABEPK	amisp022982
TIMM17B	amisp030026
HRSP12	amisp004105
CDK9	amisp020258
SRRM1	amisp029029
SPRY3	amisp001263
SPRY1	comp47136_c0_seq1
SPRY2	amisp025368
STAM2	amisp017092
CNKSR1	amisp023274
ABCC4	amisp000116
CDKN1A	amisp025034
DENND4A	amisp000703
IGSF6	comp24783_c0_seq1
SF3B4	amisp019956
CDK2AP2	amisp003208
IRX5	amisp032985
RAMP2	amisp007428
RAMP1	amisp016789
RAMP3	amisp016237
ZMPSTE24	amisp002889
CDKN1B	amisp002638
AKAP8	comp66117_c0_seq35
FSTL3	amisp032460
STUB1	amisp024882
STAG1	amisp026265
NET1	comp66061_c7_seq1
UBE4B	amisp014501
EFS	amisp020904
CDKN1C	amisp025278
SIGMAR1	amisp023300
BET1	amisp030633
CWC27	amisp015263
SAP18	amisp031105
SMNDC1	amisp019309
BCAS2	comp63512_c0_seq4
RGS19	comp67308_c0_seq2
EIF1B	amisp009810
SPEG	comp48414_c0_seq1
SF3A1	amisp006106
TRAIP	amisp004997
DNAJA2	amisp015140
BCKDK	amisp011156
MAEA	amisp001066
APC2	amisp019129
PAK4	amisp002057
MARCH6	amisp024414
ADAR	amisp000385
CDKN2B	amisp003985
KATNB1	amisp024150
SNAPC5	amisp011984
APBB3	amisp023660
CCNO	amisp021551
CDKN2C	amisp007056
DSCR3	amisp030576
TCIRG1	amisp026600
RTN3	comp68510_c0_seq4
LANCL1	amisp005438
NMUR1	amisp002495
B3GALT5	comp33101_c0_seq2
TNIP1	amisp023539
LAMC3	amisp030745
CDKN2D	amisp032939
IKZF1	comp59076_c0_seq1
SMYD5	amisp031631
KLHL41	amisp013173
SIRPB1	amisp012496
AKR1A1	amisp012175
EMC8	amisp033875
TMEM5	amisp025749
CNPY2	amisp011380
B3GNT3	comp63084_c0_seq1
CLEC4M	comp69622_c0_seq12
TLR6	comp63392_c0_seq1
MRVI1	amisp014461
PCGF3	amisp011524
TFG	amisp022360
PKDREJ	comp54950_c0_seq1
TRDN	amisp019328
ABCA8	amisp012427
WARS2	amisp033402
CDO1	amisp025766
NPM3	comp29038_c0_seq1
NPM2	comp29805_c0_seq1
HMG20B	amisp015391
HMG20A	amisp014558
KLF2	amisp025665
MICU1	amisp033670
CACNG3	amisp023966
CACNG2	amisp001886
CITED2	comp47663_c0_seq1
SEMA3A	amisp032142
BPNT1	amisp000840
TUBB3	amisp030096
SYCP2	amisp008584
SCML2	amisp018628
CEPT1	amisp010176
CORO2B	amisp027758
MYL12B	amisp007191
NOD1	amisp013718
ANAPC10	comp68681_c0_seq4
DLC1	comp63360_c0_seq2
ATP8A1	amisp033351
NDRG1	amisp008914
MYL9	amisp031775
GNB2L1	amisp001689
ADARB1	amisp010204
CDS1	amisp024642
PEMT	amisp024268
PIAS3	amisp005961
ST3GAL6	amisp035174
NDC80	amisp007183
CPQ	amisp004084
WFDC2	amisp025701
BASP1	amisp011040
IFITM3	amisp023115
RAPGEF3	amisp012072
NSA2	amisp016815
YAP1	comp62873_c0_seq8
SPON2	amisp034480
SPON1	amisp000249
PRMT5	amisp020890
TESK2	amisp012169
CD2BP2	comp29138_c0_seq1
UBAC1	amisp009472
CDIPT	amisp023560
PGRMC2	amisp013451
ARIH2	amisp022280
TUBGCP3	amisp030660
SEC24B	amisp005199
CFDP1	amisp019745
TMEM147	amisp019236
RBM14	comp68747_c0_seq4
LYPLA1	amisp006702
CDC42EP2	comp28238_c0_seq1
EMG1	amisp005237
IFI30	amisp027301
C1D	comp47729_c0_seq1
OLFM1	comp70618_c3_seq1
CDX1	amisp031249
TIMM17A	amisp012693
N4BP2L2	amisp028132
ZER1	amisp024850
MCRS1	amisp011417
LRRN2	amisp005266
FAM3C	amisp008020
ACAA2	amisp019801
PPIE	amisp016933
VAV3	comp24877_c0_seq1
TOMM40	amisp007651
TAB1	amisp020530
ECI2	amisp016472
HAX1	amisp000393
GPNMB	amisp026526
BAIAP2	comp70286_c0_seq15
MAD2L2	amisp011760
CDX4	amisp006877
TACC3	amisp007835
MERTK	amisp021070
SLC30A9	amisp019606
PIBF1	amisp029517
PPIH	amisp006377
COG5	amisp015959
ZNHIT1	amisp027337
FST	amisp023810
TIMM44	amisp029376
CLGN	amisp029702
PFDN6	amisp024126
ZBTB18	amisp024620
TADA3	amisp022310
ATP5H	amisp022937
UBE2E3	amisp015998
SLC25A17	amisp025613
SLC9A6	amisp011450
CEACAM5	amisp033325
EIF3M	amisp002700
NXF1	amisp016578
SEC23B	amisp023474
SEC23A	amisp007097
CAP2	amisp010491
CAP1	amisp028996
CREB3	amisp008972
LRRC41	amisp018326
VTI1B	amisp001527
CRTAP	amisp004733
SYNCRIP	amisp016380
VAT1	amisp028885
STK25	amisp031440
ENOX2	amisp033284
UNC13B	comp71017_c0_seq3
CARM1	amisp032917
NCOA2	amisp000895
ADARB2	amisp015967
CEBPA	amisp015723
SEMA6C	amisp012580
SEMA6B	amisp032348
SEMA4F	comp70395_c1_seq3
SEMA4D	comp71116_c0_seq2
SEMA4B	amisp007412
CEBPB	amisp018341
SEMA3C	amisp030411
APPBP2	amisp019012
MYBBP1A	amisp011837
FBLN5	amisp023450
FBXW10	amisp003821
CIB2	amisp008345
CIB1	amisp007413
CEBPD	amisp026111
DDX17	amisp017876
DEAF1	amisp008137
CHERP	amisp025661
KAT5	amisp013463
HYOU1	amisp027039
IPO8	amisp030399
IPO7	amisp006538
NOP56	amisp031028
NEBL	comp68642_c1_seq1
PITRM1	amisp018365
ATG7	amisp017772
SSSCA1	comp41873_c0_seq1
RNASEH2A	comp71022_c2_seq45
LEPREL2	amisp002930
BATF	amisp007157
GLRX3	amisp030504
CEBPG	comp65198_c1_seq6
DCTN2	amisp012100
ANP32B	amisp033417
LAMTOR5	amisp025062
PROCR	amisp013368
TM9SF1	amisp013853
PRDX4	amisp022021
ARL6IP5	amisp004068
AGR2	amisp004774
ARPC1A	amisp013630
HTATIP2	comp65525_c0_seq5
AGPAT1	amisp004485
AGPAT2	amisp013721
RPP30	amisp008383
RPP38	amisp002973
SPTLC1	amisp007354
SLC35A1	amisp021372
CEL	comp655747_c0_seq1
SLC19A2	amisp019350
OLFM4	amisp017470
ARFGEF2	comp67566_c0_seq1
ARFGEF1	amisp001317
AKAP3	amisp019433
RABAC1	amisp027837
SLC34A2	amisp000187
SLU7	amisp032328
DPYSL4	amisp023407
SIVA1	amisp014485
MRPL28	amisp012862
CCT7	amisp031633
CCT4	amisp020966
CCT2	amisp017746
NPC2	amisp007128
TACC2	comp70679_c0_seq9
CENPA	amisp010759
SORBS1	comp68393_c1_seq13
IFITM2	comp73462_c0_seq1
COLEC10	amisp004759
POMT1	amisp030737
MAB21L2	amisp029736
TXNRD2	amisp012305
MTHFS	amisp026305
DRAP1	amisp013459
SCGN	amisp028656
SMC2	amisp004497
PRPF8	amisp020751
AHSA1	amisp012941
CENPC	amisp015293
USP16	amisp028932
CDC42EP3	amisp021844
SH2B2	amisp029131
PAIP1	comp37157_c0_seq1
PAICS	amisp016170
TBL3	amisp019297
MXD4	amisp012721
LEPREL4	amisp008189
ST6GALNAC2	amisp022849
PDLIM5	comp65598_c0_seq3
TRIM3	amisp013656
ERLIN1	amisp006514
HEXIM1	amisp007797
SPAG5	amisp014640
RBCK1	comp24464_c0_seq1
STAMBP	amisp024598
TGOLN2	amisp017486
CENPE	amisp024326
ARID3B	amisp030311
POLR3F	amisp004629
POLR3G	amisp020601
POLR3C	amisp005959
IVNS1ABP	amisp028317
TRIM16	amisp017191
MYL12A	comp64176_c0_seq1
TXNIP	amisp005947
TAF6L	amisp016571
CENPF	amisp027991
PDPN	amisp015677
POSTN	comp64728_c0_seq8
ATP5L	amisp027052
GAS2L1	amisp021493
RAD51AP1	amisp021439
RGS14	amisp011322
EXOC5	amisp009535
NPRL2	comp62476_c0_seq10
IGF2BP3	amisp026524
IGF2BP2	amisp013341
CAMKK2	amisp008657
SCGB1D2	amisp027625
MTX2	amisp002982
YKT6	amisp025514
SPINT2	comp66164_c1_seq1
PMVK	amisp000382
DMRT2	amisp020487
KHDRBS3	amisp015227
KHDRBS1	amisp019512
CELF1	amisp029969
CELF2	comp71036_c2_seq65
CES1	amisp015749
LBX1	amisp031725
CTCF	amisp009402
CD226	amisp030246
FARS2	amisp013038
CGRRF1	amisp026171
CGREF1	comp60392_c0_seq2
RRAGA	amisp003254
DCTN6	amisp034182
GNA13	amisp012437
TNFSF13B	comp56288_c0_seq3
CSPG5	amisp007086
B3GNT2	amisp012772
GNB5	amisp015531
EBP	amisp030025
CLDN16	amisp006603
CETN2	amisp002158
FUT9	amisp030275
GMEB1	comp67207_c1_seq2
RRH	amisp030953
CCT8	amisp028933
CNPY3	amisp028091
CORIN	amisp014764
ADCY1	amisp032685
CETN3	amisp020603
FAM189B	comp68214_c2_seq1
USP39	amisp025500
POLD3	amisp031507
CERS1	amisp027275
TBR1	amisp012491
AP4B1	amisp013779
NRG3	amisp022122
CFL1	comp64678_c0_seq1
POLQ	amisp008763
SLC12A7	comp67427_c0_seq1
MGEA5	comp60025_c0_seq5
NFAT5	amisp009846
NUDC	amisp008481
PTGES3	amisp011364
CFL2	amisp027888
YME1L1	amisp009092
TCFL5	amisp018724
PLK4	amisp013456
STAG3	amisp022649
STAG2	amisp010390
SIX2	amisp009604
RBBP9	amisp023473
RAI2	amisp018627
RAI1	amisp024272
PHTF1	amisp033193
MAP3K2	amisp020719
MASP2	comp61915_c0_seq1
KIF1C	amisp028587
CTSC	amisp026338
GRAP	amisp024304
CHL1	comp69297_c0_seq52
CAPN9	amisp014360
GIPC1	amisp002908
TRAF3IP2	amisp013057
NUP50	amisp026960
NES	comp70807_c0_seq1
KDM5B	amisp016918
TOB2	amisp032693
HBS1L	amisp026927
AHCYL1	amisp023456
PLK2	amisp023094
ZMYND11	comp66980_c2_seq2
ZBTB6	amisp020124
POP4	amisp014431
ARPP19	amisp015535
ARPP21	comp70114_c3_seq5
NEK6	amisp023002
WDR4	amisp012789
NCKAP1	amisp023423
IQGAP2	amisp031060
VAMP5	amisp025503
MTHFD2	amisp024609
RPP40	comp67106_c1_seq4
ADCY2	amisp009713
CFTR	amisp024717
CYSLTR1	comp379868_c0_seq1
SEPT9	comp64803_c0_seq2
SEC24A	amisp030845
GJB6	comp70151_c3_seq2
SDCCAG8	amisp006158
SDCCAG3	amisp013731
HSPH1	amisp000320
STARD10	amisp035118
CGA	amisp004749
WASF3	amisp021309
NOXA1	comp36807_c0_seq1
UTP14A	amisp004710
CPLX2	amisp025450
CPLX1	comp68924_c11_seq3
FRS3	amisp003298
FRS2	amisp017748
NEU3	amisp008993
FAXDC2	amisp010078
FAM114A2	amisp010089
FTCD	amisp030776
PPP1R17	amisp022168
TUBGCP2	amisp029575
CLPX	amisp033990
PDE10A	amisp025633
SRCAP	amisp002588
PPP1R13L	comp98169_c0_seq1
CD3EAP	amisp004920
HPSE	amisp012454
RUVBL2	amisp027573
PGRMC1	amisp034905
CYP46A1	amisp013067
SLC26A1	amisp002223
ADAM28	amisp035249
ARID5A	amisp025494
TSPAN9	amisp021432
USP20	amisp012366
USP19	comp67555_c0_seq1
ME3	comp61344_c1_seq2
NMU	amisp003130
FGL2	amisp017378
ACTL7A	comp46853_c1_seq1
C1QL1	amisp007791
MRPS30	amisp027165
WDR3	amisp002819
NPFFR2	amisp026584
PROKR1	comp33710_c0_seq1
GPR83	amisp019070
RAB10	amisp026559
PPARGC1A	amisp001422
MALT1	amisp024353
MMP24	comp66147_c0_seq2
LYVE1	amisp014465
YIF1A	amisp006459
CPSF4	amisp024235
JTB	amisp000408
ADCY3	amisp003356
RUNDC3A	amisp007305
DHRS4	amisp013871
BRD8	comp57456_c0_seq1
MTMR11	comp69980_c0_seq1
BLCAP	comp56655_c0_seq1
MAN1A2	amisp004122
TRAFD1	amisp009105
TXNL4A	comp46875_c0_seq2
PNPLA6	amisp015008
SUGT1	amisp017467
UTS2	amisp023905
GADD45G	amisp016174
EDAR	amisp019866
PAPOLA	amisp006440
TCERG1	amisp029839
EHMT2	amisp016438
COPS8	amisp022505
RNPS1	comp32912_c0_seq1
FASTK	amisp017309
SUB1	amisp008362
SMPDL3A	amisp003031
DBF4	amisp029075
SPIN1	amisp004318
RALBP1	amisp003575
APOBEC2	amisp019259
MORF4L1	amisp021287
PRDX3	amisp027084
GPR75	amisp003092
AFG3L2	amisp005092
POP1	amisp004106
MSL3	amisp021738
C11orf58	amisp022129
KDELR1	amisp034877
SF3A3	amisp028743
AP3M2	comp62401_c1_seq1
STARD3	amisp011802
HNRNPA0	amisp034857
CBX1	amisp032061
SEC61B	amisp009727
TOMM34	amisp022074
PDIA5	amisp021166
SERINC3	amisp032518
OS9	amisp012092
PNRC1	amisp029033
TMED2	comp63714_c0_seq2
LMAN2	comp48371_c0_seq1
ERP29	amisp005473
MLLT11	amisp012571
STIP1	amisp010275
IFI44L	amisp021666
RAB40B	amisp012203
EBNA1BP2	amisp012844
CKAP4	comp70436_c14_seq2
YWHAQ	comp64009_c0_seq1
TMED10	amisp007150
ASCC3	amisp004001
ADIRF	amisp034102
UQCR11	comp29986_c0_seq2
CLP1	amisp010952
FERMT2	comp60686_c0_seq4
COPS6	amisp022645
RAB32	amisp013328
MAPRE2	comp62563_c0_seq2
CCNI	amisp033168
GCN1L1	amisp030448
COPS5	amisp001309
METAP2	amisp009453
IMMT	comp65985_c1_seq5
SLC38A3	amisp028231
SF3B2	amisp006463
SDS	amisp021472
ILVBL	amisp015001
SLC27A4	amisp020245
SLC27A2	amisp013823
KIF2C	comp69954_c0_seq2
SPINK5	comp67942_c0_seq1
CHAD	amisp000087
GLIPR1	amisp013880
TLK2	amisp034624
KLK11	comp48863_c0_seq1
KDELR2	amisp018205
KDELR3	amisp017877
ATF7	amisp032747
SNRNP27	amisp023025
TMED1	amisp032919
LIAS	amisp009024
RCBTB2	amisp008022
IFT27	comp48427_c0_seq1
RAB35	amisp030450
TDRKH	amisp029325
VAX1	amisp020576
CHAT	amisp034119
RBPMS	amisp034184
RAB31	amisp003579
ADAP1	amisp018471
DSTN	amisp004613
RIPK3	amisp033803
GTF2A1L	amisp000816
STON1	comp70938_c1_seq1
RCC1	amisp020158
B3GNT1	amisp006455
MID2	comp69479_c1_seq1
PAPD7	amisp030195
UPK1A	amisp030470
SLC35D2	amisp004988
ADRM1	amisp015774
CHD1	amisp003060
NUDT21	amisp019751
CPSF6	amisp029931
OGFR	amisp018722
ZPBP	amisp010109
DDX52	amisp024500
ABHD2	amisp028664
WWP1	amisp003918
CHD2	amisp004879
WWP2	comp70429_c0_seq1
LECT1	amisp017468
DUS4L	amisp015960
SOX30	amisp014928
CNTRL	amisp016320
UBE2C	comp30005_c0_seq1
SNRNP35	amisp015348
CYB561D2	amisp029907
RAPGEF4	amisp001431
CHD3	amisp027364
TMEM115	amisp029908
DUSP14	amisp024504
TOPBP1	amisp023665
STMN2	amisp034781
TPPP	amisp018128
HSF2BP	amisp017074
TRIOBP	amisp017905
RER1	amisp015429
CHD4	amisp030629
DNAJB4	amisp023694
KERA	amisp024633
ESM1	amisp026104
DIDO1	comp67741_c1_seq2
WDR5	amisp027732
C9orf9	amisp030715
ADAMTS13	amisp023612
CACFD1	comp71060_c3_seq3
ADAMTS8	amisp009981
ADAMTS5	amisp031215
NUPL2	amisp026528
PRSS23	amisp024663
PTPN21	amisp023914
ADCY5	amisp021163
HNRNPUL1	comp48002_c0_seq1
ATE1	comp68327_c0_seq3
RPP14	amisp022277
KRR1	amisp013883
KATNA1	amisp008039
PRDM5	comp1068878_c0_seq1
PRDM4	amisp015622
CHEK1	amisp029946
HIBADH	amisp031783
CIT	comp70524_c0_seq28
FGFR1OP	amisp006752
EMILIN1	amisp019548
FOXN3	amisp017243
BTN2A1	amisp021046
PTPRT	comp63954_c0_seq2
RCAN3	amisp029028
FAF1	amisp001395
KIF3A	amisp021012
POLR3A	amisp008427
CLASRP	amisp004915
CHGA	amisp016730
ZWINT	amisp017173
CAPN10	amisp020858
KPTN	amisp020667
CDC42EP1	amisp018479
SLC7A9	amisp015708
PWP1	amisp015621
TBC1D8	comp64501_c0_seq7
CHGB	amisp000459
CDC37	amisp002386
IL1RAPL1	comp57997_c1_seq1
PKIG	comp29693_c0_seq2
KAT7	amisp010704
DMC1	amisp017875
PLA2G16	comp66751_c1_seq2
GLMN	comp65236_c0_seq2
HHLA2	amisp035191
BVES	amisp018509
WDR45	amisp030037
FICD	amisp025920
AP4S1	amisp018107
LDB3	comp64935_c0_seq1
PTP4A3	amisp034226
LSM6	amisp022789
RABL2B	amisp033116
ERLIN2	amisp029819
C14orf1	amisp007162
NUDT6	amisp029776
NUDT4	amisp010313
NUDT5	amisp009566
NUDT3	amisp032005
SOX21	amisp009540
FSTL1	amisp009350
PSIP1	comp68927_c0_seq3
WDHD1	amisp024224
FAM107A	comp63745_c0_seq2
STRAP	amisp022344
ADAMTS7	amisp021276
ADAMTS6	amisp006661
BAZ2A	amisp011366
BAZ1A	comp65641_c0_seq1
LZTS1	amisp002626
ZNF277	amisp011089
CHIT1	amisp004647
WDR6	amisp022283
TREH	amisp027027
SLC2A6	amisp023611
MAP4K5	amisp003608
MAP4K1	amisp020652
RASSF1	comp64663_c0_seq3
PKP3	comp68647_c0_seq1
NISCH	amisp020315
CELF3	amisp029329
CHKA	amisp005714
CEP250	comp68763_c3_seq4
WBP4	amisp018153
ABCB8	amisp017303
SEC23IP	amisp027096
WIF1	amisp032303
SUPT16H	amisp011008
ANXA10	amisp011831
ADCY6	amisp003715
CHKB	amisp029157
CHEK2	amisp011225
POLI	amisp015515
CHM	amisp009372
FZD10	amisp024551
PROSC	amisp025603
AKAP13	comp69937_c0_seq3
AKAP11	comp69842_c5_seq7
AKAP10	amisp016271
AKAP2	amisp030128
DDX20	amisp015434
DUSP10	amisp015146
MRPL3	amisp005417
RPL35	amisp022988
GALNT6	amisp004206
GALNT5	amisp018087
RASSF8	amisp019273
CHN1	comp60297_c0_seq3
SEC63	amisp015991
POLG2	amisp008535
HPS5	amisp011197
PDCD10	amisp023352
RNF139	amisp010016
RNF24	amisp018448
CA5B	amisp031224
EGLN3	amisp006696
CHN2	comp57129_c0_seq2
PADI2	amisp029604
PMF1	comp59504_c0_seq2
ZHX1	comp69611_c5_seq3
GPR176	amisp000771
NXPH4	comp43740_c0_seq1
PRRT2	comp62052_c0_seq1
ERI2	comp70530_c0_seq20
NXPH3	amisp010709
SAT2	comp68743_c0_seq8
DTD2	amisp018100
